125,256,6000,256,16,128,198,1
29,8000,32000,32,8,32,269,2
29,8000,32000,32,8,32,220,2
29,8000,32000,32,8,32,172,2
29,8000,16000,32,8,16,132,2
26,8000,32000,64,8,32,318,2
23,16000,32000,64,16,32,367,2
23,16000,32000,64,16,32,489,2
23,16000,64000,64,16,32,636,2
23,32000,64000,128,32,64,1144,2
400,1000,3000,0,1,2,38,3
400,512,3500,4,1,6,40,3
60,2000,8000,65,1,8,92,4
50,4000,16000,65,1,8,138,4
350,64,64,0,1,4,10,5
200,512,16000,0,4,32,35,5
167,524,2000,8,4,15,19,6
143,512,5000,0,7,32,28,6
143,1000,2000,0,5,16,31,6
110,5000,5000,142,8,64,120,6
143,1500,6300,0,5,32,30,6
143,3100,6200,0,5,20,33,6
143,2300,6200,0,6,64,61,6
110,3100,6200,0,6,64,76,6
320,128,6000,0,1,12,23,7
320,512,2000,4,1,3,69,7
320,256,6000,0,1,6,33,7
320,256,3000,4,1,3,27,7
320,512,5000,4,1,5,77,7
320,256,5000,4,1,6,27,7
25,1310,2620,131,12,24,274,9
25,1310,2620,131,12,24,368,9
50,2620,10480,30,12,24,32,9
50,2620,10480,30,12,24,63,9
56,5240,20970,30,12,24,106,9
64,5240,20970,30,12,24,208,9
50,500,2000,8,1,4,20,9
50,1000,4000,8,1,5,29,9
50,2000,8000,8,1,5,71,9
50,1000,4000,8,3,5,26,8
50,1000,8000,8,3,5,36,8
50,2000,16000,8,3,5,40,8
50,2000,16000,8,3,6,52,8
50,2000,16000,8,3,6,60,8
133,1000,12000,9,3,12,72,a
133,1000,8000,9,3,12,72,a
810,512,512,8,1,1,18,a
810,1000,5000,0,1,1,20,a
320,512,8000,4,1,5,40,a
200,512,8000,8,1,8,62,a
700,384,8000,0,1,1,24,b
700,256,2000,0,1,1,24,b
140,1000,16000,16,1,3,138,b
200,1000,8000,0,1,2,36,b
110,1000,4000,16,1,2,26,b
110,1000,12000,16,1,2,60,b
220,1000,8000,16,1,2,71,b
800,256,8000,0,1,4,12,c
800,256,8000,0,1,4,14,c
800,256,8000,0,1,4,20,c
800,256,8000,0,1,4,16,c
800,256,8000,0,1,4,22,c
125,512,1000,0,8,20,36,d
75,2000,8000,64,1,38,144,e
75,2000,16000,64,1,38,144,e
75,2000,16000,128,1,38,259,e
90,256,1000,0,3,10,17,g
105,256,2000,0,3,10,26,g
105,1000,4000,0,3,24,32,g
105,2000,4000,8,3,19,32,g
75,2000,8000,8,3,24,62,g
75,3000,8000,8,3,48,64,g
175,256,2000,0,3,24,22,g
300,768,3000,0,6,24,36,u
300,768,3000,6,6,24,44,u
300,768,12000,6,6,24,50,u
300,768,4500,0,1,24,45,u
300,384,12000,6,1,24,53,u
300,192,768,6,6,24,36,u
180,768,12000,6,1,31,84,u
330,1000,3000,0,2,4,16,f
300,1000,4000,8,3,64,38,f
300,1000,16000,8,2,112,38,f
330,1000,2000,0,1,2,16,f
330,1000,4000,0,3,6,22,f
140,2000,4000,0,3,6,29,f
140,2000,4000,0,4,8,40,f
140,2000,4000,8,1,20,35,f
140,2000,32000,32,1,20,134,f
140,2000,8000,32,1,54,66,f
140,2000,32000,32,1,54,141,f
140,2000,32000,32,1,54,189,f
140,2000,4000,8,1,20,22,f
57,4000,16000,1,6,12,132,h
57,4000,24000,64,12,16,237,h
26,16000,32000,64,16,24,465,h
26,16000,32000,64,8,24,465,h
26,8000,32000,0,8,24,277,h
26,8000,16000,0,8,16,185,h
480,96,512,0,1,1,6,h
203,1000,2000,0,1,5,24,h
115,512,6000,16,1,6,45,h
1100,512,1500,0,1,1,7,h
1100,768,2000,0,1,1,13,h
600,768,2000,0,1,1,16,h
400,2000,4000,0,1,1,32,h
400,4000,8000,0,1,1,32,h
900,1000,1000,0,1,2,11,h
900,512,1000,0,1,2,11,h
900,1000,4000,4,1,2,18,h
900,1000,4000,8,1,2,22,h
900,2000,4000,0,3,6,37,h
225,2000,4000,8,3,6,40,h
225,2000,4000,8,3,6,34,h
180,2000,8000,8,1,6,50,h
185,2000,16000,16,1,6,76,h
180,2000,16000,16,1,6,66,h
225,1000,4000,2,3,6,24,h
25,2000,12000,8,1,4,49,h
25,2000,12000,16,3,5,66,h
17,4000,16000,8,6,12,100,h
17,4000,16000,32,6,12,133,h
1500,768,1000,0,0,0,12,h
1500,768,2000,0,0,0,18,h
800,768,2000,0,0,0,20,h
50,2000,4000,0,3,6,27,i
50,2000,8000,8,3,6,45,i
50,2000,8000,8,1,6,56,i
50,2000,16000,24,1,6,70,i
50,2000,16000,24,1,6,80,i
50,8000,16000,48,1,10,136,i
100,1000,8000,0,2,6,16,j
100,1000,8000,24,2,6,26,j
100,1000,8000,24,3,6,32,j
50,2000,16000,12,3,16,45,j
50,2000,16000,24,6,16,54,j
50,2000,16000,24,6,16,65,j
150,512,4000,0,8,128,30,k
115,2000,8000,16,1,3,50,l
115,2000,4000,2,1,5,40,l
92,2000,8000,32,1,6,62,l
92,2000,8000,32,1,6,60,l
92,2000,8000,4,1,6,50,l
75,4000,16000,16,1,6,66,l
60,4000,16000,32,1,6,86,l
60,2000,16000,64,5,8,74,l
60,4000,16000,64,5,8,93,l
50,4000,16000,64,5,10,111,l
72,4000,16000,64,8,16,143,l
72,2000,8000,16,6,8,105,l
40,8000,16000,32,8,16,214,l
40,8000,32000,64,8,24,277,l
35,8000,32000,64,8,24,370,l
38,16000,32000,128,16,32,510,l
48,4000,24000,32,8,24,214,l
38,8000,32000,64,8,24,326,l
30,16000,32000,256,16,24,510,l
112,1000,1000,0,1,4,8,m
84,1000,2000,0,1,6,12,m
56,1000,4000,0,1,6,17,m
56,2000,6000,0,1,8,21,m
56,2000,8000,0,1,8,24,m
56,4000,8000,0,1,8,34,m
56,4000,12000,0,1,8,42,m
56,4000,16000,0,1,8,46,m
38,4000,8000,32,16,32,51,m
38,4000,8000,32,16,32,116,m
38,8000,16000,64,4,8,100,m
38,8000,24000,160,4,8,140,m
38,4000,16000,128,16,32,212,m
200,1000,2000,0,1,2,25,n
200,1000,4000,0,1,4,30,n
200,2000,8000,64,1,5,41,n
250,512,4000,0,1,7,25,o
250,512,4000,0,4,7,50,o
250,1000,16000,1,1,8,50,o
160,512,4000,2,1,5,30,p
160,512,2000,2,3,8,32,p
160,1000,4000,8,1,14,38,p
160,1000,8000,16,1,14,60,p
160,2000,8000,32,1,13,109,p
240,512,1000,8,1,3,6,q
240,512,2000,8,1,5,11,q
105,2000,4000,8,3,8,22,q
105,2000,6000,16,6,16,33,q
105,2000,8000,16,4,14,58,q
52,4000,16000,32,4,12,130,q
70,4000,12000,8,6,8,75,q
59,4000,12000,32,6,12,113,q
59,8000,16000,64,12,24,188,q
26,8000,24000,32,8,16,173,q
26,8000,32000,64,12,16,248,q
26,8000,32000,128,24,32,405,q
116,2000,8000,32,5,28,70,r
50,2000,32000,24,6,26,114,r
50,2000,32000,48,26,52,208,r
50,2000,32000,112,52,104,307,r
50,4000,32000,112,52,104,397,r
30,8000,64000,96,12,176,915,r
30,8000,64000,128,12,176,1150,r
180,262,4000,0,1,3,12,r
180,512,4000,0,1,3,14,r
180,262,4000,0,1,3,18,r
180,512,4000,0,1,3,21,r
124,1000,8000,0,1,8,42,r
98,1000,8000,32,2,8,46,r
125,2000,8000,0,2,14,52,s
480,512,8000,32,0,0,67,t
480,1000,4000,0,0,0,45,t
